,1,,1000,,1500,,1600,,1700,,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Western Europe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria ,212.5,,297.5,,1414,,2093,,2483,,4104,,,,,,,,,,4948,,,,,,,,,,5628,,,,,,,,,,6519,,,,,,,,,,7528,,,,,,,,,,8418.909,9028.635,9098.988,8887.929,9286.596,9333.498,9544.557,9872.871,10201.185,10130.832,10271.538,10693.656,10764.009,11209.578,11514.441,11444.088,11819.304,12640.089,12616.638,12499.383,13179.462,13648.482,13953.345,14047.149,14867.934,15266.601,15501.111,15829.425,16720.563,17072.328,17213.034,17283.387,17963.466,18127.623,18409.035,19440.879,20191.311,21434.214,21528.018,21457.665,21762.528,22442.607,23568.255,23451,19571.53457,18154.42414,17933.31471,17548.04829,17186.23286,14502.76843,15571.464,17236.485,18784.251,18596.643,20754.135,22161.195,22536.411,23216.49,24295.236,24647.001,23966.922,22043.94,19769.193,19112.565,19276.722,19651.938,20238.213,21316.959,24037.275,27250.062,26546.532,28446.063,27015.552,27672.18,28375.71,11725.5,13695.384,15102.444,19229.82,22864.725,25702,27460,27484,28680,31611,35105,37520,39818,41272,42445,45939,48378,49550,51567,54662,56234,59399,61205,63925,67945,72785,76506,81256,85227,88588,88267,92307,96624,96273,101525,103874,103771,105750,108716,109077,111525,114135,116053,119730,124791,130476,135168.902,138360.8254,138821.818,142515.743,145237.6581,149041.6055,151783.2272,157233,162410,167878,169244,170755,172763,176795,181215,187557,194122,198004
Belgium ,135,,170,,1225,,1561,,2288,,4529,,,,,,,,,,5078,,,,,,,,,,,,,,,,7277,7633,7665,7892,8216,8442,8668,8894,9444,9509,10026,10285,10350,10350,10867,11029,11320,11644,12032,12032,12388,12452,12905,13390,13716,13779.822,14620.844,14717.885,15203.09,15170.743,15364.825,15558.907,16011.765,16173.5,16982.175,17208.604,17790.85,18049.626,18211.361,18437.79,18664.219,19375.853,19505.241,20443.304,20896.162,20928.509,21446.061,21769.531,22093.001,22610.553,23063.411,23483.922,23872.086,24357.291,25068.925,25295.354,25812.906,26395.152,27074.439,27850.767,28433.013,28853.524,29144.647,29694.546,30470.874,31182.508,31926.489,32347,30299.897,29934.838,31672.334,27199.206,21917.403,25854.495,29920.975,30438.527,33414.451,34611.29,35743.435,36293.334,37522.52,38913.441,40951.302,40595.485,40207.321,39495.687,37716.602,38525.277,38201.807,40563.138,40854.261,41404.16,40466.097,43215.592,38072.419,36066.905,32961.593,32198.2038,34093.738,36131.599,38266.501,40563.138,42989.163,44735.901,47190,49874,49486,51071,53173,55696,57313,58381,58316,60160,63394,66478,69904,72988,78128,80870,83440,86695,90293,96302,102265,106103,111679,118516,123494,121855,128743,129549,133231,136350,142458,140680,142665,142648,146180,147650,149854,153392,160632,166396,171442,174584.6592,177256.9477,175551.9608,181216.9725,185538.5574,187684.8476,193950.2185,197587,204349,212010,213668,216891,219074,225609,230572,237490,243666,246103
Denmark,72,,144,,443,,569,,727,,1471,1541,1564,1564,1611,1623,1646,1693,1716,1681,1693,1681,1728,1716,1809,1798,1798,1844,1856,1879,1938,1938,1949,2054,2159,2218,2265,2253,2370,2510,2649,2521,2615,2626,2638,2930,2766,2813,2790,2977,2953,3000,3093,3292,3257,3373,3373,3373,3432,3630,3782,3792.75,4002.81,3979.47,4096.17,4166.19,4247.88,4131.18,4294.56,4434.6,4539.63,4586.31,4749.69,4913.07,4936.41,4971.42,5169.81,5356.53,5391.54,5461.56,5788.32,5905.02,6045.06,6161.76,6290.13,6640.23,6885.3,7048.68,7165.38,7468.8,7725.54,8052.3,8239.02,8729.16,8915.88,9067.59,9324.33,9674.43,9977.85,10362.96,10678.05,11249.88,11249.88,11670,12405.21,11541.63,12031.77,11319.9,10946.46,12358.53,12942.03,12568.59,13840.62,15299.37,15346.05,14995.95,15871.2,16186.29,16734.78,17855.1,18917.07,19127.13,18625.32,19220.49,19803.99,20247.45,20749.26,21251.07,21764.55,22803.18,19605.6,17668.38,18065.16,20060.73,22161.33,20492.52,23690.1,25020.48,25697.34,27471.18,29654,29852,30144,31859,32478,32828,33225,35746,36551,39270,40367,42926,45295,45579,49843,52117,53539,55339,57613,61283,62524,64191,67578,70032,69379,68921,73382,74573,75674,78356,78010,77316,79650,81656,85241,88897,92135,92406,93482,93728,94863,96096.60112,97994.93667,97907.11101,103316.8853,106483.7789,109502.1344,113004.5702,115447,118399,122628,123502,124062,124543,127175,130227,134525,136677,135037
Finland ,8,,16,,136,,215,,255,,913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1483,,,,,,,,,,1667,1680,1590,1718,1756,1744,1763,1622,1782,1910,1999,2012.535,2082.814,2204.205,2255.317,2300.04,2427.82,2370.319,2325.596,2351.152,2363.93,2300.04,2523.655,2619.49,2638.657,2702.547,2836.716,2881.439,2990.052,3092.276,3264.779,3232.834,3136.999,3258.39,3513.95,3705.62,3948.402,4140.072,4318.964,4216.74,4414.799,4363.687,4274.241,4561.746,4734.249,4810.917,5002.587,5175.09,5232.591,5462.595,5583.986,5743.711,6063.161,6389,6107.884,5801.212,5877.88,4938.697,4280.63,5168.701,5782.045,5973.715,6606.226,7091.79,7277.071,7692.356,7986.25,8612.372,9193.771,9302.384,9193.771,8970.156,8931.822,9525.999,10605.74,11059.359,11806.872,12477.717,13123.006,12560.774,11909.096,12298.825,12337.159,13755.517,13761.906,12963.281,14017.466,14343.305,15480.547,16419.73,17051,18501,19121,19255,20941,22008,22673,23739,23867,25285,27598,29701,30627,31636,33235,35002,35843,36600,37442,41048,44114,45036,48473,51724,53291,53905,53676,53808,54934,58756,61890,63043,65090,66849,68866,71184,72873,75861,79581,84092,84103,78731.04763,75731.06553,74790.21511,77733.38821,80411.97145,83461.51256,88627.96813,93640,97261,102185,104880,106570,108490,112500,115650,121317,126412,127676
France,2366,,2763,,10912,,15559,,19539,,35468,38524,37267,38706,40025,38526,39783,39179,39158,40415,39655,40378,44090,43416,43663,45312,44803,45669,47899,46367,49828,51045,49933,52595,54497,52833,52965,58806,55198,56933,58039,57188,60931,57969,60763,59842,62469,66038,70645,66046,70577,66154,71812,74416,75256,73157,73651,69308,75958,78029,72100.011,71666.544,78313.038,72822.456,82069.752,84815.043,77879.571,82069.752,81058.329,76001.214,82792.197,85970.955,90016.647,90305.625,89294.202,87704.823,89149.713,89727.669,90594.603,92906.427,95073.762,97241.097,99697.41,101431.278,105187.992,103020.657,107933.283,106488.393,111689.997,118047.513,116747.112,114868.755,112990.398,115446.711,116313.645,118336.491,120503.826,125705.43,124982.985,130184.589,122237.694,134230.281,145355.934,144489,134230.281,131484.99,138131.484,117036.09,92328.471,108800.217,125849.919,120648.315,142321.665,149690.604,168474.174,169196.619,173675.778,170063.553,181911.651,194193.216,188558.145,177288.003,165728.883,177576.981,175843.113,171363.954,177865.959,188124.678,187402.233,200839.71,165728.883,131051.523,117469.557,111545.508,94206.828,102153.723,155325.675,168329.685,180611.25,205174.38,220492,234074,240287,247223,259215,274098,287969,305308,312966,321924,344609,363754,387937,408090,435296,456456,479631,501799,523967,560280,592389,621055,648668,683965,704012,699106,729326,756545,777544,802491,813763,822116,842787,852644,865172,877305,898129,920822,961287,1000286,1026491,1038922.027,1059124.659,1048641.289,1070472.681,1095671.865,1107663.816,1134262.273,1163069,1201508,1248521,1271617,1284653,1298819,1329614,1354877,1387394,1419304,1423562
Germany ,1225,,1435,,8256,,12656,,13650,,26819,,,,,,,,,,37250,,,,,,,,,,,,,,,,,,,,48178,47941,48890,48653,49840,49128,53162,55773,55536,55773,59096,57672,60520,65029,66928,67165,67640,67877,71912,72386,72148.928,71674.264,76658.236,79980.884,85914.184,86388.848,85914.184,85439.52,89474.164,87338.176,86626.18,88762.168,90186.16,95170.132,97543.452,99916.772,100628.768,104663.412,108935.388,112020.704,115580.684,115343.352,120089.992,126023.292,129108.608,135279.24,140025.88,144060.524,150231.156,155689.792,162335.088,158537.776,162335.088,171353.704,178236.332,182033.644,187492.28,195798.9,199121.548,203156.192,210513.484,217633.444,227126.724,237332,202206.864,192001.588,193900.244,194137.576,194612.24,156591,170235,189511,206188,171318,200557,223082,229363,252321,263367,262284,258602,238893,220916,234778,256220,275496,299753,317783,342351,374577,377284,401174,406582,414696,425041,302457,143381,161011,190695,223178,265354,289679,314794,341150,366584,406922,436086,461071,481599,516821,558482,581487,606292,623382,661273,694798,715393,717610,755463,805410,843103,867917,903739,944755,952571,947383,993132,1021710,1050404,1092615,1105099,1109276,1099799,1119394,1150951,1176131,1202151,1220284,1260983,1302212,1264438,1331699.55,1361341.41,1350420.725,1386302.976,1412512.62,1426553.501,1452295.154,1478795,1508538,1556928,1576223,1576223,1572784,1589449,1600575,1651794,1693088,1713405
Italy ,6475,,2250,,11550,,14410,,14630,,22535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33019,,,,,,,,,,,37995,39141,38377,39523,40503,42482,38950,40668,41146,41814,42272.29743,41647.40697,43274.15339,43130.4212,44364.85894,43430.59188,43409.30652,44050.57321,44561.07095,46689.66767,43540.76461,47354.29763,47217.54267,47556.10784,48542.18883,50695.27448,52090.1945,51920.07273,49686.02148,52862.72525,52648.48265,49688.46078,51967.12752,51234.63691,52027.20406,53456.16873,51091.01036,55645.74321,56944.04937,60113.61584,64016.02712,62231.10267,65196.22058,65805.24951,69477.01216,72087.40277,80214.29431,82149.29207,88493.71519,85285.02138,90838.52467,91573.77888,95487,95412.57757,106729.6083,119746.2768,125383.1803,127249.2661,105979.7129,96757.32527,95286.62852,100210.1422,106265.8683,107312.2219,114396.5508,115594.8225,113094.2996,121182.3589,125180.4613,119013.9617,118323.1229,122140.3909,121317.3965,121826.4144,133559.09,133792.0131,142953.8811,143981.4342,154470.148,155423.6674,153516.6285,151609.5897,137306.7982,111561.7735,87342.37996,114422.3318,134446.2399,142074.3953,152563.1091,164957,177272,190541,204288,214884,227389,237699,251732,265192,281707,296981,321992,347098,371822,386333,395020,415639,445232,482462,510051,521506,531385,546933,582713,610040,596946,635737,654108,678494,716984,742299,745816,749233,758360,777841,799697,822404,847870,880671,906053,925654,938522.0702,945660.1539,937302.9399,957993.4836,986004.0138,996781.9207,1016979.551,1026365,1046091,1083598,1103028,1106823,1107193,1120504,1128348,1150914,1169329,1157636
Netherlands ,85,,127.5,,723,,2072,,4047,,4288,4458,4498,4702,4871,4871,4902,5125,5373,5492,5300,5298,5638,5742,5750,5823,5980,6205,6380,6485,6588,6734,6756,6680,6723,6807,6837,6869,6938,7119,7345,7551,7642,7578,7790,7941,8036,8179,8039,7810,7887,8007,8123,8427,8760,9015,9255,9335,9286,9552,9952,9942,10146,10472,10213,10908,11074,11364,11468,11074,12313,12540,12875,13816,14065,14378,14594,15178,15707,15707,15070,14783,15006,15157,15524,16015,15405,16959,17310,17566,17604,17958,18796,19197,19334,19953,20661,20679,20694,21457,22438,23263,23998,24955,24281.215,25104.73,25778.515,24131.485,22634.185,28049.42,28897.89,30669.695,32341.68,33140.24,35560.875,37058.175,40027.82,41699.805,43920.8,44270.17,44170.35,41475.21,40901.245,40826.38,40077.73,41575.03,44195.305,46715.76,45592.785,48687.205,42897.645,40626.74,37133.04,36234.66,24306.17,24880.135,41999.265,48613,53804,58546,60642,61914,63162,68652,73319,78759,81654,83950,83701,87793,95180,95455,101993,105686,114446,120435,123754,130267,138627,147552,155955,162539,167919,175791,182763,182596,191194,196392,201024,205501,207979,206925,204517,208014,214854,221470,227570,230788,236824,247906,258094,263955.295,269301.6558,271352.4374,277719.4708,286142.838,294839.7295,306157.3609,323975,339125,352541,359326,359553,360759,368824,376200,388991,402995,411055
