,1,,1000,,1500,,1600,,1700,,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Western Europe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria ,500,,700,,2000,,2500,,2500,,3369,3386,3402,3419,3436,3452,3469,3486,3504,3521,3538,3555,3573,3590,3608,3626,3614,3662,3680,3698,3716,3739,3762,3785,3808,3831,3855,3878,3902,3926,3950,3978,4006,4035,4063,4092,4120,4150,4178,4206,4235,4263,4292,4321,4350,4380,4409,4439,4469,4499,4520,4562,4604,4646,4688,4730,4772,4815,4857,4899,4941,4985,5030,5075,5121,5166,5212,5257,5303,5348,5394,5446,5504,5563,5622,5680,5739,5798,5856,5915,5973,6035,6099,6164,6228,6292,6357,6421,6485,6550,6614,6669,6724,6767,6806,6843,6825,6785,6727,6420,6455,6504,6528,6543,6562,6582,6603,6623,6643,6664,6684,6705,6725,6746,6760,6761,6758,6755,6753,6653,6705,6745,6783,6808,6834,6799,7000,6971,6956,6943,6935.1,6935.451,6927.772,6932.483,6940.209,6946.885,6952.359,6965.86,6987.358,7014.331,7047.437,7086.299,7129.864,7175.811,7223.801,7270.889,7322.066,7376.998,7415.403,7441.055,7467.086,7500.482,7544.201,7586.115,7599.038,7578.903,7565.525,7568.43,7562.305,7549.425,7549.433,7564.629,7574.613,7552.896,7554.132,7559.776,7568.242,7578.903,7599.791,7627.861,7722.953,7818.423,7914.969,7988.599,8027.54,8047.433,8060.852,8069.876,8078.622,8094.156,8113.413,8131.69,8148.312,8162.656,8174.762,8184.691,8192.88,8199.783,8205.533,8210
Belgium ,300,,400,,1400,,1600,,2000,,3434,3464,3495,3526,3557,3589,3620,3652,3685,3717,3750,3782,3814,3846,3879,3912,3945,3978,4012,4046,4080,4115,4151,4187,4223,4259,4296,4333,4371,4408,4449,4477,4506,4534,4563,4592,4621,4651,4680,4710,4740,4774,4809,4844,4879,4915,4950,4986,5023,5029,5096,5137,5178,5219,5261,5303,5345,5394,5442,5492,5541,5606,5673,5740,5807,5876,5919,5962,6007,6051,6096,6164,6231,6300,6370,6439,6494,6548,6604,6662,6719,6801,6903,6997,7086,7175,7258,7338,7411,7478,7498,7517,7590,7666,7723,7759,7762,7729,7660,7628,7552,7504,7571,7635,7707,7779,7844,7904,7968,8032,8076,8126,8186,8231,8262,8288,8315,8346,8374,8392,8346,8276,8247,8242,8291,8339,8367,8450,8557,8614,8639.369,8678.386,8730.405,8777.873,8819.38,8868.475,8923.845,8989.111,9052.707,9103.729,9118.7,9165.8,9218.4,9283.1,9367,9448.1,9507.8,9556.5,9589.8,9612.7,9637.8,9672.5,9709.1,9738.4,9767.8,9794.8,9811,9821.8,9829.7,9837.2,9846.8,9852.4,9856.303,9855.52,9855.3,9858.2,9861.8,9870.2,9884,9937.697,9969.31,10004.487,10045.622,10085.426,10122.914,10155.459,10178.934,10199.787,10217.03,10235.655,10263.618,10291.679,10311.97,10330.824,10348.276,10364.388,10379.067,10392.226,10403.951,10414
Denmark ,180,,360,,600,,650,,700,,1155,1167,1179,1196,1213,1228,1243,1255,1265,1270,1273,1275,1276,1284,1295,1306,1315,1325,1335,1347,1357,1371,1385,1392,1414,1430,1444,1456,1470,1484,1499,1517,1536,1552,1569,1590,1612,1634,1653,1674,1696,1717,1739,1761,1777,1799,1814,1833,1852,1871,1888,1903,1918,1935,1954,1973,1994,2019,2043,2064,2081,2101,2120,2137,2160,2186,2213,2237,2257,2276,2294,2311,2327,2344,2367,2397,2428,2462,2497,2530,2561,2594,2623,2653,2681,2710,2741,2775,2809,2845,2882,2917,2951,2983,3018,3055,3092,3130,3165,3202,3242,3285,3322,3356,3389,3425,3452,3475,3497,3518,3542,3569,3603,3633,3666,3695,3722,3749,3777,3805,3832,3863,3903,3949,3998,4045,4101,4146,4190,4230,4271,4303.62,4334,4369.28,4406,4439,4466.471,4487.831,4515.132,4546.636,4581,4609.817,4646.899,4683.579,4720.171,4758.1,4797.5,4838.8,4867.3,4890.687,4928.757,4963.126,4991.596,5021.861,5045.297,5059.861,5072.596,5088.419,5104.247,5116.8,5123.027,5121.572,5117.81,5114.297,5111.619,5113.691,5120.534,5127.024,5129.516,5132.593,5140.954,5154.352,5171.393,5188.386,5205.603,5232.612,5262.075,5283.663,5302.767,5320.134,5337.416,5355.826,5374.693,5394.138,5413.392,5432.335,5450.661,5468.12,5484.723,5501
Finland ,20,,40,,300,,400,,400,,1169,1186,1202,1219,1235,1252,1268,1310,1326,1343,1364,1374,1378,1383,1387,1391,1399,1409,1420,1430,1441,1456,1476,1495,1516,1536,1555,1573,1591,1610,1628,1642,1652,1663,1673,1683,1692,1703,1715,1726,1738,1754,1774,1794,1813,1833,1840,1831,1776,1734,1754,1786,1819,1847,1873,1899,1928,1957,1983,2014,2047,2072,2098,2130,2164,2195,2224,2259,2296,2331,2364,2394,2451,2430,2511,2483,2515,2549,2589,2624,2646,2667,2686,2706,2735,2762,2788,2821,2861,2899,2929,2962,2998,3027,3053,3083,3105,3124,3125,3117,3133,3170,3210,3243,3272,3304,3339,3368,3396,3424,3449,3476,3503,3526,3549,3576,3601,3626,3656,3686,3698,3702,3708,3721,3735,3758,3806,3859,3912,3963,4008.9,4047.3,4090.5,4139.4,4186.9,4234.9,4281.7,4324,4359.8,4394.7,4429.6,4461.004,4491.443,4523.309,4548.544,4563.732,4580.869,4605.744,4626.469,4623.785,4606.307,4612.124,4639.657,4666.081,4690.574,4711.439,4725.664,4738.902,4752.528,4764.69,4779.535,4799.964,4826.933,4855.787,4881.788,4901.783,4917.386,4931.729,4946.633,4962.441,4986.431,5013.786,5041.039,5064.846,5086.044,5104.654,5120.31,5134.406,5146.983,5158.097,5168.595,5180.309,5193.039,5204.405,5214.512,5223.442,5231.372,5238.46,5244.749,5250
France,5000,,6500,,15000,,18500,,21471,,31250,31460,31685,31905,32127,32350,32538,32727,32917,33108,33300,33439,33598,33718,33859,34000,34178,34357,34537,34718,34900,35059,35218,35378,35539,35700,35829,35959,36089,36219,36350,36479,36609,36739,36869,37000,37060,37120,37180,37240,37300,37390,37520,37710,37860,38020,38080,38230,38330,38890,38440,37731,37679,37887,38044,38221,38398,38576,38763,38909,39045,39191,39337,39472,39629,39733,39858,39889,39920,40004,40014,39983,39993,40014,40056,40098,40192,40348,40473,40546,40598,40640,40713,40786,40859,40890,40942,40942,41046,41109,41224,41307,41359,41463,41476,40481,39884,39288,38542,38700,39000,39240,39420,39880,40310,40610,40870,40940,41050,41230,41610,41860,41860,41890,41950,41940,41910,41930,41960,41900,41000,39600,39400,39000,38900,39700,40290,40680,41110,41480,42518,42862,43184,43495,43822,44218,44657,45152,45654,46129,46584,47128,48089,48799,49357,49802,50254,50650,51034,51470,51918,52432,52894,53333,53690,53955,54159,54378,54602,54836,55110,55399,55697,55929,56246,56490,56725,56989,57255,57821,58168,58514,58859,59169,59445,59712,59981,60254,60535,60824,61137,61479,61829,62171,62534,62912,63293,63682,64058,64420
Germany ,3000,,3500,,12000,,16000,,15000,,24905,25260,25620,25969,26307,26650,26964,27249,27540,27807,28045,28283,28535,28801,29071,29390,29702,30013,30365,30746,31126,31475,31787,32086,32394,32743,33059,33231,33289,33452,33746,34055,34290,34422,34531,34586,34715,34979,35278,35633,36049,36435,36788,37184,37602,37955,38193,38440,38637,38914,39231,39456,39691,40017,40450,40897,41491,42034,42546,43052,43500,43827,44112,44404,44777,45084,45505,46001,46538,47083,47607,48129,48633,49123,49703,50363,51111,51921,52753,53592,54388,55214,56104,56963,57806,58644,59481,60341,61187,62038,62884,63852,64457,65058,66096,66230,66076,65763,65237,60547,60894,61573,61900,62307,62697,63166,63630,64023,64393,64739,65084,65423,65716,66027,66409,66871,67349,67831,68558,69286,69835,70244,70834,70411,69865,67000,64678,66094,67295,67991,68374.572,68875.884,69145.952,69550.236,69868.115,70195.612,70602.518,71019.069,71488.167,72013.853,72480.869,73123.148,73739.117,74340.26,74954.262,75638.851,76206.173,76368.453,76584.401,77143.888,77783.164,78354.709,78717.088,78950.22,78966.137,78682.325,78298.957,78160.773,78066.074,78081.292,78297.904,78401.83,78335.266,78121.655,77855.422,77684.907,77713.485,77718.298,78030.572,78644.914,79380.394,79984.244,80597.764,81132.272,81414.164,81653.702,81890.667,82011.073,82023.672,82074.778,82187.909,82280.551,82350.671,82398.326,82424.609,82431.39,82422.299,82400.996,82369.548,82330
Italy ,8000,,5000,,10500,,13100,,13300,,20176,20306,20437,20568,20701,20834,20968,21103,21239,21376,21513,21652,21791,21932,22073,22215,22358,22502,22647,22793,22939,23087,23236,23385,23536,23687,23840,23993,24148,24303,24460,24617,24776,24935,25096,25257,25420,25584,25748,25914,26081,26249,26418,26610,26814,27023,27256,27411,27501,27681,27888,28063,28233,28387,28505,28630,28837,29067,29252,29425,29534,29672,29898,30113,30366,30644,30857,31049,31243,31468,31702,31892,32091,32303,32513,32689,32863,33078,33285,33487,33672,33877,34166,34436,34715,35011,35297,35594,35899,36213,36572,36917,37150,37248,37526,37982,38142,37981,37520,37250,37398,37691,38086,38460,38810,39165,39502,39848,40186,40469,40791,41132,41431,41753,42093,42429,42750,43068,43419,43865,44341,44734,45004,45177,45290,45442,45725,46040,46381,46733,47105,47418,47666,47957,48299,48633,48921,49182,49476,49832,50197.6,50523.2,50843.2,51198.3,51600.2,51987.1,52331.6,52667.1,52986.6,53317,53661.1,54005.5,54365.564,54796.843,55226.259,55571.894,55838.536,56059.245,56240.143,56367.71,56451.247,56502.489,56535.636,56630.129,56696.963,56731.215,56733.833,56729.703,56734.027,56737.529,56742.886,56747.462,56840.847,57026.746,57179.46,57274.531,57367.032,57479.469,57550.318,57603.634,57719.337,57844.924,57926.999,57998.353,58057.477,58103.033,58133.509,58147.733,58145.321,58126
Netherlands ,200,,300,,950,,1500,,1900,,2333,2365,2400,2435,2474,2514,2543,2561,2585,2610,2633,2653,2665,2683,2707,2732,2762,2791,2821,2853,2886,2921,2952,2981,3014,3047,3069,3071,3069,3076,3098,3133,3167,3194,3218,3235,3253,3277,3294,3304,3318,3340,3366,3397,3431,3460,3484,3510,3543,3575,3610,3636,3662,3670,3745,3788,3832,3883,3834,3986,4043,4079,4130,4180,4226,4276,4326,4378,4432,4485,4535,4585,4632,4684,4743,4803,4866,4935,5003,5070,5142,5221,5305,5389,5470,5551,5632,5710,5786,5862,5922,5984,6068,6164,6277,6395,6516,6654,6752,6805,6848,6921,7032,7150,7264,7366,7471,7576,7679,7782,7884,7999,8123,8237,8341,8434,8516,8599,8685,8782,8879,8966,9042,9103,9175,9262,9424,9630,9800,9956,10113.527,10264.311,10381.988,10493.184,10615.38,10750.842,10889.351,11026.383,11186.875,11347.639,11486,11638.713,11805.689,11965.966,12127.12,12292,12454.8,12596.822,12724.68,12873,13032.335,13193.776,13329.874,13438.404,13540.584,13653.438,13769.913,13852.989,13936.754,14030.002,14143.901,14246.049,14310.401,14362.381,14420.022,14491.38,14571.875,14665.278,14761.339,14848.907,14951.51,15066.22,15174.244,15274.942,15382.198,15459.054,15527.809,15604.464,15699.259,15801.947,15907.853,16017.445,16122.83,16223.248,16318.199,16407.491,16491.461,16570.613,16645.313,16716
